,¼øÀ§,ÆÀ¸í,G,SBA,SB,CS,SB%,OOB,PKO,Year
7,8,KT,144,137,80,57,58.4,63,7,2018
8,9,LG,144,109,71,38,65.1,48,7,2018
9,10,·Ôµ¥,144,100,68,32,68.0,46,10,2018
0,1,SK,144,168,118,50,70.2,51,12,2019
1,2,Å°¿ò,144,143,110,33,76.9,37,6,2019
2,3,LG,144,155,108,47,69.7,38,6,2019
3,4,»ï¼º,144,149,107,42,71.8,45,7,2019
4,5,ÇÑÈ­,144,156,105,51,67.3,51,6,2019
5,6,KT,144,148,104,44,70.3,58,8,2019
6,7,µÎ»ê,144,140,102,38,72.9,59,7,2019
7,8,KIA,144,129,87,42,67.4,61,7,2019
8,8,NC,144,132,87,45,65.9,53,7,2019
9,10,·Ôµ¥,144,96,65,31,67.7,49,8,2019
0,1,»ï¼º,144,181,132,49,72.9,42,14,2020
1,2,Å°¿ò,144,140,113,27,80.7,40,11,2020
2,3,KT,144,156,106,50,67.9,49,6,2020
3,4,NC,144,139,101,38,72.7,49,7,2020
4,5,·Ôµ¥,144,121,90,31,74.4,52,3,2020
5,6,µÎ»ê,144,125,88,37,70.4,63,4,2020
6,7,LG,144,122,83,39,68.0,64,5,2020
7,8,SK,144,126,81,45,64.3,44,16,2020
8,9,ÇÑÈ­,144,87,51,36,58.6,43,4,2020
9,10,KIA,144,72,47,25,65.3,47,6,2020
0,1,»ï¼º,144,160,116,44,72.5,47,7,2021
1,2,KT,144,158,112,46,70.9,50,6,2021
2,3,ÇÑÈ­,144,165,109,56,66.1,59,14,2021
3,4,NC,144,147,101,46,68.7,39,9,2021
4,5,SSG,144,143,100,43,69.9,42,3,2021
5,6,Å°¿ò,144,123,97,26,78.9,39,3,2021
6,7,LG,144,126,92,34,73.0,43,15,2021
7,8,µÎ»ê,144,118,81,37,68.6,48,11,2021
8,9,KIA,144,104,73,31,70.2,46,8,2021
9,10,·Ôµ¥,144,91,60,31,65.9,54,8,2021
0,1,KIA,144,137,103,34,75.2,57,5,2022
1,2,LG,144,148,102,46,68.9,46,10,2022
2,3,NC,144,139,100,39,71.9,56,7,2022
3,4,SSG,144,137,98,39,71.5,42,4,2022
4,5,ÇÑÈ­,144,142,93,49,65.5,49,6,2022
5,6,»ï¼º,144,118,91,27,77.1,50,6,2022
6,7,µÎ»ê,144,130,90,40,69.2,55,4,2022
7,8,KT,144,123,89,34,72.4,38,6,2022
8,9,Å°¿ò,144,83,63,20,75.9,42,8,2022
9,10,·Ôµ¥,144,100,61,39,61.0,54,6,2022
0,1,LG,144,267,166,101,62.2,78,15,2023
1,2,µÎ»ê,144,181,133,48,73.5,52,11,2023
2,3,KIA,144,156,122,34,78.2,41,6,2023
3,4,NC,144,157,111,46,70.7,53,8,2023
4,5,»ï¼º,144,138,103,35,74.6,56,10,2023
5,6,·Ôµ¥,144,143,101,42,70.6,42,12,2023
6,7,SSG,144,124,96,28,77.4,43,10,2023
7,8,KT,144,117,87,30,74.4,54,5,2023
8,9,ÇÑÈ­,144,89,67,22,75.3,35,7,2023
9,10,Å°¿ò,144,65,54,11,83.1,37,7,2023
